region,date,metrics,type,value
HJH,1979_5,AG,GWRMP,2273.2933
HJH,1979_6,AG,GWRMP,2292.0743
HJH,1979_7,AG,GWRMP,2298.4214
HJH,1979_8,AG,GWRMP,2297.0096
HJH,1979_9,AG,GWRMP,2283.6423
HJH,1980_5,AG,GWRMP,2281.49
HJH,1980_6,AG,GWRMP,2297.2731
HJH,1980_7,AG,GWRMP,2314.4578
HJH,1980_8,AG,GWRMP,2331.7067
HJH,1980_9,AG,GWRMP,2277.01
HJH,1981_5,AG,GWRMP,2284.1357
HJH,1981_6,AG,GWRMP,2285.0955
HJH,1981_7,AG,GWRMP,2299.3331
HJH,1981_8,AG,GWRMP,2302.69
HJH,1981_9,AG,GWRMP,2277.931
HJH,1982_5,AG,GWRMP,2276.6981
HJH,1982_6,AG,GWRMP,2293.4279
HJH,1982_7,AG,GWRMP,2324.2117
HJH,1982_8,AG,GWRMP,2291.6877
HJH,1982_9,AG,GWRMP,2273.4668
HJH,1983_5,AG,GWRMP,2307.5152
HJH,1983_6,AG,GWRMP,2345.1575
HJH,1983_7,AG,GWRMP,2307.1102
HJH,1983_8,AG,GWRMP,2274.2866
HJH,1983_9,AG,GWRMP,2323.2223
HJH,1984_5,AG,GWRMP,2287.6975
HJH,1984_6,AG,GWRMP,2350.9777
HJH,1984_7,AG,GWRMP,2285.2897
HJH,1984_8,AG,GWRMP,2291.8083
HJH,1984_9,AG,GWRMP,2280.6951
HJH,1985_5,AG,GWRMP,2287.1986
HJH,1985_6,AG,GWRMP,2289.4035
HJH,1985_7,AG,GWRMP,2319.2446
HJH,1985_8,AG,GWRMP,2285.0797
HJH,1985_9,AG,GWRMP,2295.0523
HJH,1986_5,AG,GWRMP,2277.6668
HJH,1986_6,AG,GWRMP,2308.537
HJH,1986_7,AG,GWRMP,2292.1608
HJH,1986_8,AG,GWRMP,2281.6356
HJH,1986_9,AG,GWRMP,2309.1922
HJH,1987_5,AG,GWRMP,2286.4343
HJH,1987_6,AG,GWRMP,2292.8901
HJH,1987_7,AG,GWRMP,2336.778
HJH,1987_8,AG,GWRMP,2298.5362
HJH,1987_9,AG,GWRMP,2301.007
HJH,1988_5,AG,GWRMP,2290.4613
HJH,1988_6,AG,GWRMP,2302.6904
HJH,1988_7,AG,GWRMP,2288.3006
HJH,1988_8,AG,GWRMP,2304.664
HJH,1988_9,AG,GWRMP,2290.1331
HJH,1989_5,AG,GWRMP,2292.7843
HJH,1989_6,AG,GWRMP,2291.3536
HJH,1989_7,AG,GWRMP,2321.8003
HJH,1989_8,AG,GWRMP,2306.2564
HJH,1989_9,AG,GWRMP,2313.8747
HJH,1990_5,AG,GWRMP,2288.277
HJH,1990_6,AG,GWRMP,2294.3161
HJH,1990_7,AG,GWRMP,2270.7045
HJH,1990_8,AG,GWRMP,2321.3029
HJH,1990_9,AG,GWRMP,2304.6888
HJH,1991_5,AG,GWRMP,2298.8631
HJH,1991_6,AG,GWRMP,2325.3408
HJH,1991_7,AG,GWRMP,2315.1231
HJH,1991_8,AG,GWRMP,2286.9692
HJH,1991_9,AG,GWRMP,2297.5373
HJH,1992_5,AG,GWRMP,2286.3424
HJH,1992_6,AG,GWRMP,2303.8056
HJH,1992_7,AG,GWRMP,2280.0499
HJH,1992_8,AG,GWRMP,2310.7761
HJH,1992_9,AG,GWRMP,2303.9131
HJH,1993_5,AG,GWRMP,2302.785
HJH,1993_6,AG,GWRMP,2311.7589
HJH,1993_7,AG,GWRMP,2333.2215
HJH,1993_8,AG,GWRMP,2327.9938
HJH,1993_9,AG,GWRMP,2300.4748
HJH,1994_5,AG,GWRMP,2274.2953
HJH,1994_6,AG,GWRMP,2351.3107
HJH,1994_7,AG,GWRMP,2265.0247
HJH,1994_8,AG,GWRMP,2294.4363
HJH,1994_9,AG,GWRMP,2267.6067
HJH,1995_5,AG,GWRMP,2299.8083
HJH,1995_6,AG,GWRMP,2330.7943
HJH,1995_7,AG,GWRMP,2316.3734
HJH,1995_8,AG,GWRMP,2292.3357
HJH,1995_9,AG,GWRMP,2260.5356
HJH,1996_5,AG,GWRMP,2263.9071
HJH,1996_6,AG,GWRMP,2351.0376
HJH,1996_7,AG,GWRMP,2320.7032
HJH,1996_8,AG,GWRMP,2291.4332
HJH,1996_9,AG,GWRMP,2262.5332
HJH,1997_5,AG,GWRMP,2279.8177
HJH,1997_6,AG,GWRMP,2287.2366
HJH,1997_7,AG,GWRMP,2342.4931
HJH,1997_8,AG,GWRMP,2342.5004
HJH,1997_9,AG,GWRMP,2268.12
HJH,1998_5,AG,GWRMP,2290.0098
HJH,1998_6,AG,GWRMP,2302.6113
HJH,1998_7,AG,GWRMP,2312.3584
HJH,1998_8,AG,GWRMP,2289.2637
HJH,1998_9,AG,GWRMP,2294.9863
HJH,1999_5,AG,GWRMP,2285.7829
HJH,1999_6,AG,GWRMP,2412.0274
HJH,1999_7,AG,GWRMP,2287.0288
HJH,1999_8,AG,GWRMP,2341.6419
HJH,1999_9,AG,GWRMP,2274.2915
HJH,2000_5,AG,GWRMP,2289.5139
HJH,2000_6,AG,GWRMP,2303.2128
HJH,2000_7,AG,GWRMP,2275.73
HJH,2000_8,AG,GWRMP,2291.3016
HJH,2000_9,AG,GWRMP,2270.5351
HJH,2001_5,AG,GWRMP,2275.3618
HJH,2001_6,AG,GWRMP,2358.0681
HJH,2001_7,AG,GWRMP,2286.8836
HJH,2001_8,AG,GWRMP,2328.2201
HJH,2001_9,AG,GWRMP,2266.7247
HJH,2002_5,AG,GWRMP,2300.4933
HJH,2002_6,AG,GWRMP,2298.3123
HJH,2002_7,AG,GWRMP,2298.8976
HJH,2002_8,AG,GWRMP,2310.8881
HJH,2002_9,AG,GWRMP,2269.5134
HJH,2003_5,AG,GWRMP,2274.0312
HJH,2003_6,AG,GWRMP,2279.6525
HJH,2003_7,AG,GWRMP,2281.4795
HJH,2003_8,AG,GWRMP,2281.7312
HJH,2003_9,AG,GWRMP,2268.4372
HJH,2004_5,AG,GWRMP,2298.2026
HJH,2004_6,AG,GWRMP,2289.6667
HJH,2004_7,AG,GWRMP,2275.6555
HJH,2004_8,AG,GWRMP,2277.2413
HJH,2004_9,AG,GWRMP,2285.8257
HJH,2005_5,AG,GWRMP,2280.2408
