region,date,metrics,type,value,value1
HJH,1979_5,EN,GWRMP,1.6814,1.6814
HJH,1979_6,EN,GWRMP,2.3446,2.3446
HJH,1979_7,EN,GWRMP,2.1902,2.1902
HJH,1979_8,EN,GWRMP,2.3813,2.3813
HJH,1979_9,EN,GWRMP,2.45,2.45
HJH,1980_5,EN,GWRMP,1.9579,1.9579
HJH,1980_6,EN,GWRMP,2.4616,2.4616
HJH,1980_7,EN,GWRMP,2.4527,2.4527
HJH,1980_8,EN,GWRMP,2.2693,2.2693
HJH,1980_9,EN,GWRMP,1.9276,1.9276
HJH,1981_5,EN,GWRMP,2.0548,2.0548
HJH,1981_6,EN,GWRMP,2.5345,2.5345
HJH,1981_7,EN,GWRMP,2.2697,2.2697
HJH,1981_8,EN,GWRMP,2.5578,2.5578
HJH,1981_9,EN,GWRMP,1.9042,1.9042
HJH,1982_5,EN,GWRMP,1.8955,1.8955
HJH,1982_6,EN,GWRMP,2.1874,2.1874
HJH,1982_7,EN,GWRMP,2.3756,2.3756
HJH,1982_8,EN,GWRMP,2.5,2.5
HJH,1982_9,EN,GWRMP,2.0803,2.0803
HJH,1983_5,EN,GWRMP,2.3628,2.3628
HJH,1983_6,EN,GWRMP,2.7862,2.7862
HJH,1983_7,EN,GWRMP,2.5962,2.5962
HJH,1983_8,EN,GWRMP,2.0544,2.0544
HJH,1983_9,EN,GWRMP,2.7852,2.7852
HJH,1984_5,EN,GWRMP,1.9779,1.9779
HJH,1984_6,EN,GWRMP,2.8834,2.8834
HJH,1984_7,EN,GWRMP,2.3567,2.3567
HJH,1984_8,EN,GWRMP,2.4905,2.4905
HJH,1984_9,EN,GWRMP,1.9994,1.9994
HJH,1985_5,EN,GWRMP,2.0652,2.0652
HJH,1985_6,EN,GWRMP,2.2415,2.2415
HJH,1985_7,EN,GWRMP,2.4095,2.4095
HJH,1985_8,EN,GWRMP,2.1442,2.1442
HJH,1985_9,EN,GWRMP,2.1049,2.1049
HJH,1986_5,EN,GWRMP,1.8787,1.8787
HJH,1986_6,EN,GWRMP,2.4204,2.4204
HJH,1986_7,EN,GWRMP,2.0796,2.0796
HJH,1986_8,EN,GWRMP,2.1977,2.1977
HJH,1986_9,EN,GWRMP,2.4645,2.4645
HJH,1987_5,EN,GWRMP,1.9404,1.9404
HJH,1987_6,EN,GWRMP,2.0316,2.0316
HJH,1987_7,EN,GWRMP,2.3487,2.3487
HJH,1987_8,EN,GWRMP,2.3314,2.3314
