region,date,metrics,type,value,value1
HJH,1979_5,SD,GWRMP,7.4286,7.4286
HJH,1979_6,SD,GWRMP,23.4123,23.4123
HJH,1979_7,SD,GWRMP,19.9319,19.9319
HJH,1979_8,SD,GWRMP,28.2474,28.2474
HJH,1979_9,SD,GWRMP,28.6446,28.6446
HJH,1980_5,SD,GWRMP,11.8633,11.8633
HJH,1980_6,SD,GWRMP,28.7947,28.7947
HJH,1980_7,SD,GWRMP,35.3642,35.3642
HJH,1980_8,SD,GWRMP,21.3085,21.3085
HJH,1980_9,SD,GWRMP,12.5535,12.5535
HJH,1981_5,SD,GWRMP,14.9936,14.9936
HJH,1981_6,SD,GWRMP,32.3576,32.3576
HJH,1981_7,SD,GWRMP,20.7754,20.7754
HJH,1981_8,SD,GWRMP,38.4878,38.4878
HJH,1981_9,SD,GWRMP,10.4835,10.4835
HJH,1982_5,SD,GWRMP,11.0408,11.0408
HJH,1982_6,SD,GWRMP,17.0639,17.0639
HJH,1982_7,SD,GWRMP,23.4923,23.4923
HJH,1982_8,SD,GWRMP,28.2055,28.2055
HJH,1982_9,SD,GWRMP,17.509,17.509
HJH,1983_5,SD,GWRMP,25.0876,25.0876
HJH,1983_6,SD,GWRMP,54.4089,54.4089
HJH,1983_7,SD,GWRMP,44.4116,44.4116
HJH,1983_8,SD,GWRMP,12.568,12.568
HJH,1983_9,SD,GWRMP,57.6447,57.6447
HJH,1984_5,SD,GWRMP,12.9631,12.9631
HJH,1984_6,SD,GWRMP,82.094,82.094
HJH,1984_7,SD,GWRMP,25.5039,25.5039
HJH,1984_8,SD,GWRMP,30.0595,30.0595
HJH,1984_9,SD,GWRMP,12.6477,12.6477
HJH,1985_5,SD,GWRMP,14.4173,14.4173
HJH,1985_6,SD,GWRMP,22.7618,22.7618
HJH,1985_7,SD,GWRMP,26.2612,26.2612
HJH,1985_8,SD,GWRMP,27.0027,27.0027
HJH,1985_9,SD,GWRMP,16.1388,16.1388
HJH,1986_5,SD,GWRMP,14.8453,14.8453
HJH,1986_6,SD,GWRMP,26.824,26.824
HJH,1986_7,SD,GWRMP,14.4347,14.4347
HJH,1986_8,SD,GWRMP,26.3632,26.3632
HJH,1986_9,SD,GWRMP,36.5275,36.5275
HJH,1987_5,SD,GWRMP,12.9511,12.9511
HJH,1987_6,SD,GWRMP,15.1126,15.1126
HJH,1987_7,SD,GWRMP,26.4728,26.4728
HJH,1987_8,SD,GWRMP,22.9968,22.9968
HJH,1987_9,SD,GWRMP,29.78,29.78
HJH,1988_5,SD,GWRMP,10.6834,10.6834
HJH,1988_6,SD,GWRMP,32.2899,32.2899
HJH,1988_7,SD,GWRMP,13.9565,13.9565
HJH,1988_8,SD,GWRMP,37.3933,37.3933
HJH,1988_9,SD,GWRMP,35.5137,35.5137
HJH,1989_5,SD,GWRMP,29.9651,29.9651
HJH,1989_6,SD,GWRMP,8.6903,8.6903
HJH,1989_7,SD,GWRMP,33.8465,33.8465
HJH,1989_8,SD,GWRMP,9.8473,9.8473
HJH,1989_9,SD,GWRMP,39.4651,39.4651
HJH,1990_5,SD,GWRMP,22.1925,22.1925
HJH,1990_6,SD,GWRMP,11.6138,11.6138
HJH,1990_7,SD,GWRMP,19.9759,19.9759
HJH,1990_8,SD,GWRMP,23.0574,23.0574
HJH,1990_9,SD,GWRMP,18.2017,18.2017
HJH,1991_5,SD,GWRMP,29.6761,29.6761
HJH,1991_6,SD,GWRMP,24.4987,24.4987
HJH,1991_7,SD,GWRMP,14.9761,14.9761
HJH,1991_8,SD,GWRMP,14.0999,14.0999
HJH,1991_9,SD,GWRMP,25.7104,25.7104
HJH,1992_5,SD,GWRMP,23.1765,23.1765
HJH,1992_6,SD,GWRMP,31.391,31.391
HJH,1992_7,SD,GWRMP,27.116,27.116
HJH,1992_8,SD,GWRMP,30.7456,30.7456
HJH,1992_9,SD,GWRMP,25.4155,25.4155
HJH,1993_5,SD,GWRMP,29.1291,29.1291
HJH,1993_6,SD,GWRMP,23.0617,23.0617
HJH,1993_7,SD,GWRMP,28.2568,28.2568
HJH,1993_8,SD,GWRMP,40.3944,40.3944
HJH,1993_9,SD,GWRMP,18.2741,18.2741
HJH,1994_5,SD,GWRMP,7.9401,7.9401
HJH,1994_6,SD,GWRMP,64.5209,64.5209
HJH,1994_7,SD,GWRMP,11.6332,11.6332
HJH,1994_8,SD,GWRMP,24.7782,24.7782
HJH,1994_9,SD,GWRMP,5.3702,5.3702
HJH,1995_5,SD,GWRMP,8.5194,8.5194
HJH,1995_6,SD,GWRMP,46.8369,46.8369
HJH,1995_7,SD,GWRMP,21.1095,21.1095
HJH,1995_8,SD,GWRMP,25.521,25.521
HJH,1995_9,SD,GWRMP,5.2082,5.2082
HJH,1996_5,SD,GWRMP,3.1367,3.1367
HJH,1996_6,SD,GWRMP,73.5923,73.5923
HJH,1996_7,SD,GWRMP,38.0652,38.0652
HJH,1996_8,SD,GWRMP,21.3237,21.3237
HJH,1996_9,SD,GWRMP,7.8813,7.8813
HJH,1997_5,SD,GWRMP,7.1061,7.1061
HJH,1997_6,SD,GWRMP,15.6684,15.6684
HJH,1997_7,SD,GWRMP,49.9739,49.9739
HJH,1997_8,SD,GWRMP,74.5801,74.5801
HJH,1997_9,SD,GWRMP,9.2629,9.2629
HJH,1998_5,SD,GWRMP,19.169,19.169
HJH,1998_6,SD,GWRMP,11.7837,11.7837
HJH,1998_7,SD,GWRMP,27.5488,27.5488
HJH,1998_8,SD,GWRMP,15.8659,15.8659
HJH,1998_9,SD,GWRMP,17.5652,17.5652
HJH,1999_5,SD,GWRMP,12.4143,12.4143
HJH,1999_6,SD,GWRMP,43.6438,43.6438
HJH,1999_7,SD,GWRMP,16.6874,16.6874
HJH,1999_8,SD,GWRMP,36.8218,36.8218
HJH,1999_9,SD,GWRMP,16.1055,16.1055
HJH,2000_5,SD,GWRMP,10.1949,10.1949
HJH,2000_6,SD,GWRMP,17.2186,17.2186
HJH,2000_7,SD,GWRMP,9.8128,9.8128
HJH,2000_8,SD,GWRMP,18.4062,18.4062
HJH,2000_9,SD,GWRMP,8.6755,8.6755
HJH,2001_5,SD,GWRMP,14.2156,14.2156
HJH,2001_6,SD,GWRMP,50.597,50.597
HJH,2001_7,SD,GWRMP,30.4766,30.4766
HJH,2001_8,SD,GWRMP,23.1816,23.1816
HJH,2001_9,SD,GWRMP,6.989,6.989
HJH,2002_5,SD,GWRMP,12.1289,12.1289
HJH,2002_6,SD,GWRMP,17.8852,17.8852
HJH,2002_7,SD,GWRMP,20.397,20.397
HJH,2002_8,SD,GWRMP,42.2889,42.2889
HJH,2002_9,SD,GWRMP,7.717,7.717
HJH,2003_5,SD,GWRMP,8.5235,8.5235
HJH,2003_6,SD,GWRMP,10.6317,10.6317
HJH,2003_7,SD,GWRMP,16.2697,16.2697
HJH,2003_8,SD,GWRMP,9.5994,9.5994
HJH,2003_9,SD,GWRMP,15.0992,15.0992
HJH,2004_5,SD,GWRMP,20.9095,20.9095
HJH,2004_6,SD,GWRMP,22.9852,22.9852
HJH,2004_7,SD,GWRMP,14.3369,14.3369
HJH,2004_8,SD,GWRMP,11.468,11.468
HJH,2004_9,SD,GWRMP,15.8415,15.8415
HJH,2005_5,SD,GWRMP,7.2511,7.2511
HJH,2005_6,SD,GWRMP,6.9492,6.9492
HJH,2005_7,SD,GWRMP,46.758,46.758
HJH,2005_8,SD,GWRMP,30.602,30.602
HJH,2005_9,SD,GWRMP,19.5753,19.5753
HJH,2006_5,SD,GWRMP,20.911,20.911
HJH,2006_6,SD,GWRMP,10.0649,10.0649
HJH,2006_7,SD,GWRMP,21.6794,21.6794
HJH,2006_8,SD,GWRMP,10.8471,10.8471
HJH,2006_9,SD,GWRMP,8.8599,8.8599
HJH,2007_5,SD,GWRMP,12.8159,12.8159
HJH,2007_6,SD,GWRMP,22.3065,22.3065
HJH,2007_7,SD,GWRMP,13.0471,13.0471
HJH,2007_8,SD,GWRMP,20.9809,20.9809
HJH,2007_9,SD,GWRMP,19.1984,19.1984
HJH,2008_5,SD,GWRMP,6.5998,6.5998
HJH,2008_6,SD,GWRMP,36.8999,36.8999
HJH,2008_7,SD,GWRMP,13.043,13.043
HJH,2008_8,SD,GWRMP,12.7934,12.7934
HJH,2008_9,SD,GWRMP,28.9193,28.9193
HJH,2009_5,SD,GWRMP,7.9499,7.9499
HJH,2009_6,SD,GWRMP,16.4568,16.4568
HJH,2009_7,SD,GWRMP,26.1913,26.1913
HJH,2009_8,SD,GWRMP,19.2764,19.2764
HJH,2009_9,SD,GWRMP,16.357,16.357
HJH,2010_5,SD,GWRMP,8.9498,8.9498
HJH,2010_6,SD,GWRMP,18.4644,18.4644
HJH,2010_7,SD,GWRMP,22.6736,22.6736
HJH,2010_8,SD,GWRMP,21.7785,21.7785
HJH,2010_9,SD,GWRMP,28.7828,28.7828
HJH,2011_5,SD,GWRMP,11.4467,11.4467
HJH,2011_6,SD,GWRMP,71.2206,71.2206
HJH,2011_7,SD,GWRMP,28.8103,28.8103
HJH,2011_8,SD,GWRMP,36.6247,36.6247
HJH,2011_9,SD,GWRMP,19.2979,19.2979
HJH,2012_5,SD,GWRMP,24.7475,24.7475
HJH,2012_6,SD,GWRMP,56.1506,56.1506
HJH,2012_7,SD,GWRMP,26.4931,26.4931
HJH,2012_8,SD,GWRMP,29.8562,29.8562
HJH,2012_9,SD,GWRMP,18.937,18.937
HJH,2013_5,SD,GWRMP,7.6252,7.6252
HJH,2013_6,SD,GWRMP,51.6321,51.6321
HJH,2013_7,SD,GWRMP,10.7958,10.7958
HJH,2013_8,SD,GWRMP,32.4253,32.4253
HJH,2013_9,SD,GWRMP,11.1627,11.1627
HJH,2014_5,SD,GWRMP,10.76,10.76
HJH,2014_6,SD,GWRMP,17.392,17.392
HJH,2014_7,SD,GWRMP,15.3698,15.3698
HJH,2014_8,SD,GWRMP,31.4886,31.4886
HJH,2014_9,SD,GWRMP,13.5399,13.5399
HJH,2015_5,SD,GWRMP,6.2835,6.2835
HJH,2015_6,SD,GWRMP,17.1865,17.1865
HJH,2015_7,SD,GWRMP,29.7416,29.7416
HJH,2015_8,SD,GWRMP,26.7073,26.7073
HJH,2015_9,SD,GWRMP,28.1426,28.1426
HJH,2016_5,SD,GWRMP,36.3643,36.3643
HJH,2016_6,SD,GWRMP,22.1533,22.1533
HJH,2016_7,SD,GWRMP,20.5616,20.5616
HJH,2016_8,SD,GWRMP,22.1775,22.1775
HJH,2016_9,SD,GWRMP,26.0587,26.0587
HQ,1979_5,SD,GWRMP,8.9634,10.30791
HQ,1979_6,SD,GWRMP,24.6608,28.35992
HQ,1979_7,SD,GWRMP,13.2541,15.242215
HQ,1979_8,SD,GWRMP,12.4045,14.265175
HQ,1979_9,SD,GWRMP,26.329,30.27835
HQ,1980_5,SD,GWRMP,17.8411,20.517265
HQ,1980_6,SD,GWRMP,12.1654,13.99021
HQ,1980_7,SD,GWRMP,21.6346,24.87979
HQ,1980_8,SD,GWRMP,20.3036,23.34914
HQ,1980_9,SD,GWRMP,5.3524,6.15526
HQ,1981_5,SD,GWRMP,9.8723,11.353145
HQ,1981_6,SD,GWRMP,9.9225,11.410875
HQ,1981_7,SD,GWRMP,18.9333,21.773295
HQ,1981_8,SD,GWRMP,25.3395,29.140425
HQ,1981_9,SD,GWRMP,7.256,8.3444
HQ,1982_5,SD,GWRMP,6.929,7.96835
HQ,1982_6,SD,GWRMP,9.4461,10.863015
HQ,1982_7,SD,GWRMP,16.8735,19.404525
HQ,1982_8,SD,GWRMP,16.6688,19.16912
HQ,1982_9,SD,GWRMP,3.882,4.4643
HQ,1983_5,SD,GWRMP,19.1063,21.972245
HQ,1983_6,SD,GWRMP,36.5892,42.07758
HQ,1983_7,SD,GWRMP,15.8204,18.19346
HQ,1983_8,SD,GWRMP,8.9105,10.247075
HQ,1983_9,SD,GWRMP,32.9969,37.946435
HQ,1984_5,SD,GWRMP,5.6811,6.533265
HQ,1984_6,SD,GWRMP,35.5233,40.851795
HQ,1984_7,SD,GWRMP,8.0242,9.22783
HQ,1984_8,SD,GWRMP,26.7146,30.72179
HQ,1984_9,SD,GWRMP,17.1186,19.68639
HQ,1985_5,SD,GWRMP,15.5644,17.89906
HQ,1985_6,SD,GWRMP,12.1235,13.942025
HQ,1985_7,SD,GWRMP,15.6083,17.949545
HQ,1985_8,SD,GWRMP,12.7046,14.61029
HQ,1985_9,SD,GWRMP,17.0328,19.58772
HQ,1986_5,SD,GWRMP,4.3232,4.97168
HQ,1986_6,SD,GWRMP,22.8089,26.230235
HQ,1986_7,SD,GWRMP,8.6534,9.95141
HQ,1986_8,SD,GWRMP,9.6024,11.04276
HQ,1986_9,SD,GWRMP,21.2416,24.42784
HQ,1987_5,SD,GWRMP,5.011,5.76265
HQ,1987_6,SD,GWRMP,15.5767,17.913205
HQ,1987_7,SD,GWRMP,38.9619,44.806185
HQ,1987_8,SD,GWRMP,19.664,22.6136
HQ,1987_9,SD,GWRMP,13.7499,15.812385
HQ,1988_5,SD,GWRMP,4.4227,5.086105
HQ,1988_6,SD,GWRMP,9.8568,11.33532
HQ,1988_7,SD,GWRMP,12.0804,13.89246
HQ,1988_8,SD,GWRMP,24.6737,28.374755
HQ,1988_9,SD,GWRMP,19.4537,22.371755
HQ,1989_5,SD,GWRMP,8.9393,10.280195
HQ,1989_6,SD,GWRMP,5.9074,6.79351
HQ,1989_7,SD,GWRMP,18.7266,21.53559
HQ,1989_8,SD,GWRMP,22.9186,26.35639
HQ,1989_9,SD,GWRMP,18.2587,20.997505
HQ,1990_5,SD,GWRMP,10.3017,11.846955
HQ,1990_6,SD,GWRMP,21.8787,25.160505
HQ,1990_7,SD,GWRMP,11.4767,13.198205
HQ,1990_8,SD,GWRMP,16.9153,19.452595
HQ,1990_9,SD,GWRMP,21.1436,24.31514
HQ,1991_5,SD,GWRMP,11.5579,13.291585
HQ,1991_6,SD,GWRMP,16.1293,18.548695
HQ,1991_7,SD,GWRMP,31.6125,36.354375
HQ,1991_8,SD,GWRMP,8.3916,9.65034
HQ,1991_9,SD,GWRMP,24.0443,27.650945
HQ,1992_5,SD,GWRMP,7.6999,8.854885
HQ,1992_6,SD,GWRMP,15.5992,17.93908
HQ,1992_7,SD,GWRMP,11.6018,13.34207
HQ,1992_8,SD,GWRMP,12.5414,14.42261
HQ,1992_9,SD,GWRMP,27.6166,31.75909
HQ,1993_5,SD,GWRMP,11.7305,13.490075
HQ,1993_6,SD,GWRMP,9.3199,10.717885
HQ,1993_7,SD,GWRMP,30.2159,34.748285
HQ,1993_8,SD,GWRMP,25.5505,29.383075
HQ,1993_9,SD,GWRMP,5.1607,5.934805
HQ,1994_5,SD,GWRMP,9.9528,11.44572
HQ,1994_6,SD,GWRMP,21.2972,24.49178
HQ,1994_7,SD,GWRMP,8.0887,9.302005
HQ,1994_8,SD,GWRMP,9.7057,11.161555
HQ,1994_9,SD,GWRMP,5.6791,6.530965
HQ,1995_5,SD,GWRMP,5.4246,6.23829
HQ,1995_6,SD,GWRMP,18.0808,20.79292
HQ,1995_7,SD,GWRMP,7.7227,8.881105
HQ,1995_8,SD,GWRMP,11.1122,12.77903
HQ,1995_9,SD,GWRMP,2.0392,2.34508
HQ,1996_5,SD,GWRMP,4.7403,5.451345
HQ,1996_6,SD,GWRMP,37.6108,43.25242
HQ,1996_7,SD,GWRMP,16.9182,19.45593
HQ,1996_8,SD,GWRMP,11.2022,12.88253
HQ,1996_9,SD,GWRMP,4.8878,5.62097
HQ,1997_5,SD,GWRMP,14.8978,17.13247
HQ,1997_6,SD,GWRMP,11.3494,13.05181
HQ,1997_7,SD,GWRMP,28.7693,33.084695
HQ,1997_8,SD,GWRMP,19.8028,22.77322
HQ,1997_9,SD,GWRMP,6.7815,7.798725
HQ,1998_5,SD,GWRMP,11.7367,13.497205
HQ,1998_6,SD,GWRMP,9.691,11.14465
HQ,1998_7,SD,GWRMP,9.4429,10.859335
HQ,1998_8,SD,GWRMP,20.0043,23.004945
HQ,1998_9,SD,GWRMP,15.6445,17.991175
HQ,1999_5,SD,GWRMP,5.5372,6.36778
HQ,1999_6,SD,GWRMP,57.7422,66.40353
HQ,1999_7,SD,GWRMP,11.0324,12.68726
HQ,1999_8,SD,GWRMP,15.4631,17.782565
HQ,1999_9,SD,GWRMP,16.7848,19.30252
HQ,2000_5,SD,GWRMP,10.49,12.0635
HQ,2000_6,SD,GWRMP,12.2639,14.103485
HQ,2000_7,SD,GWRMP,10.1177,11.635355
HQ,2000_8,SD,GWRMP,6.0411,6.947265
HQ,2000_9,SD,GWRMP,7.7033,8.858795
HQ,2001_5,SD,GWRMP,8.5449,9.826635
HQ,2001_6,SD,GWRMP,16.2741,18.715215
HQ,2001_7,SD,GWRMP,14.9361,17.176515
HQ,2001_8,SD,GWRMP,13.3154,15.31271
HQ,2001_9,SD,GWRMP,5.9445,6.836175
HQ,2002_5,SD,GWRMP,10.469,12.03935
HQ,2002_6,SD,GWRMP,25.6955,29.549825
HQ,2002_7,SD,GWRMP,14.4179,16.580585
HQ,2002_8,SD,GWRMP,20.7456,23.85744
HQ,2002_9,SD,GWRMP,4.5088,5.18512
HQ,2003_5,SD,GWRMP,6.8882,7.92143
HQ,2003_6,SD,GWRMP,16.8715,19.402225
HQ,2003_7,SD,GWRMP,38.3869,44.144935
HQ,2003_8,SD,GWRMP,13.9226,16.01099
HQ,2003_9,SD,GWRMP,9.5437,10.975255
HQ,2004_5,SD,GWRMP,10.1781,11.704815
HQ,2004_6,SD,GWRMP,13.5813,15.618495
HQ,2004_7,SD,GWRMP,10.3056,11.85144
HQ,2004_8,SD,GWRMP,4.0998,4.71477
HQ,2004_9,SD,GWRMP,11.8541,13.632215
HQ,2005_5,SD,GWRMP,14.8069,17.027935
HQ,2005_6,SD,GWRMP,11.4906,13.21419
HQ,2005_7,SD,GWRMP,33.5142,38.54133
HQ,2005_8,SD,GWRMP,11.3309,13.030535
HQ,2005_9,SD,GWRMP,7.7322,8.89203
HQ,2006_5,SD,GWRMP,11.961,13.75515
