region,date,metrics,type,value
HJH,1979_5,SF,GWRMP,5550.9428
HJH,1979_6,SF,GWRMP,5591.1417
HJH,1979_7,SF,GWRMP,5604.5058
HJH,1979_8,SF,GWRMP,5598.9339
HJH,1979_9,SF,GWRMP,5570.5032
HJH,1980_5,SF,GWRMP,5569.0569
HJH,1980_6,SF,GWRMP,5603.4834
HJH,1980_7,SF,GWRMP,5641.8354
HJH,1980_8,SF,GWRMP,5685.9012
HJH,1980_9,SF,GWRMP,5556.9272
HJH,1981_5,SF,GWRMP,5573.4628
HJH,1981_6,SF,GWRMP,5566.9123
HJH,1981_7,SF,GWRMP,5609.4377
HJH,1981_8,SF,GWRMP,5612.0565
HJH,1981_9,SF,GWRMP,5560.5924
HJH,1982_5,SF,GWRMP,5557.4659
HJH,1982_6,SF,GWRMP,5594.187
HJH,1982_7,SF,GWRMP,5669.4052
HJH,1982_8,SF,GWRMP,5591.8755
HJH,1982_9,SF,GWRMP,5548.1182
HJH,1983_5,SF,GWRMP,5630.2343
HJH,1983_6,SF,GWRMP,5711.2436
HJH,1983_7,SF,GWRMP,5623.1902
HJH,1983_8,SF,GWRMP,5551.1718
HJH,1983_9,SF,GWRMP,5657.7454
HJH,1984_5,SF,GWRMP,5585.0532
HJH,1984_6,SF,GWRMP,5723.4612
HJH,1984_7,SF,GWRMP,5574.6694
HJH,1984_8,SF,GWRMP,5590.67
HJH,1984_9,SF,GWRMP,5566.7496
HJH,1985_5,SF,GWRMP,5581.1303
HJH,1985_6,SF,GWRMP,5583.7491
HJH,1985_7,SF,GWRMP,5654.3317
HJH,1985_8,SF,GWRMP,5575.9854
HJH,1985_9,SF,GWRMP,5598.3593
HJH,1986_5,SF,GWRMP,5560.598
HJH,1986_6,SF,GWRMP,5626.9237
HJH,1986_7,SF,GWRMP,5591.5315
HJH,1986_8,SF,GWRMP,5564.2356
HJH,1986_9,SF,GWRMP,5628.0528
HJH,1987_5,SF,GWRMP,5580.9711
HJH,1987_6,SF,GWRMP,5595.3862
HJH,1987_7,SF,GWRMP,5694.8825
HJH,1987_8,SF,GWRMP,5603.9652
HJH,1987_9,SF,GWRMP,5611.247
HJH,1988_5,SF,GWRMP,5590.601
HJH,1988_6,SF,GWRMP,5615.6712
HJH,1988_7,SF,GWRMP,5582.0289
HJH,1988_8,SF,GWRMP,5621.0461
HJH,1988_9,SF,GWRMP,5586.3956
HJH,1989_5,SF,GWRMP,5593.735
HJH,1989_6,SF,GWRMP,5592.3509
HJH,1989_7,SF,GWRMP,5661.058
HJH,1989_8,SF,GWRMP,5627.684
HJH,1989_9,SF,GWRMP,5642.4305
HJH,1990_5,SF,GWRMP,5583.6083
HJH,1990_6,SF,GWRMP,5598.0518
HJH,1990_7,SF,GWRMP,5542.9631
HJH,1990_8,SF,GWRMP,5660.2761
HJH,1990_9,SF,GWRMP,5621.0996
HJH,1991_5,SF,GWRMP,5604.9874
HJH,1991_6,SF,GWRMP,5672.6143
HJH,1991_7,SF,GWRMP,5646.0288
HJH,1991_8,SF,GWRMP,5580.8579
HJH,1991_9,SF,GWRMP,5602.4306
HJH,1992_5,SF,GWRMP,5578.5068
HJH,1992_6,SF,GWRMP,5617.7734
HJH,1992_7,SF,GWRMP,5562.0746
HJH,1992_8,SF,GWRMP,5636.1427
HJH,1992_9,SF,GWRMP,5618.356
HJH,1993_5,SF,GWRMP,5615.8781
HJH,1993_6,SF,GWRMP,5639.9849
HJH,1993_7,SF,GWRMP,5687.9133
HJH,1993_8,SF,GWRMP,5672.2651
HJH,1993_9,SF,GWRMP,5611.0749
HJH,1994_5,SF,GWRMP,5553.5445
HJH,1994_6,SF,GWRMP,5722.1616
HJH,1994_7,SF,GWRMP,5529.4295
HJH,1994_8,SF,GWRMP,5596.3703
HJH,1994_9,SF,GWRMP,5537.3551
HJH,1995_5,SF,GWRMP,5614.1798
HJH,1995_6,SF,GWRMP,5678.8752
HJH,1995_7,SF,GWRMP,5650.5539
HJH,1995_8,SF,GWRMP,5592.1855
HJH,1995_9,SF,GWRMP,5520.9626
HJH,1996_5,SF,GWRMP,5529.9439
HJH,1996_6,SF,GWRMP,5727.7655
HJH,1996_7,SF,GWRMP,5655.4609
HJH,1996_8,SF,GWRMP,5588.9414
HJH,1996_9,SF,GWRMP,5525.0174
HJH,1997_5,SF,GWRMP,5563.6637
HJH,1997_6,SF,GWRMP,5582.6242
HJH,1997_7,SF,GWRMP,5702.7387
HJH,1997_8,SF,GWRMP,5692.5174
HJH,1997_9,SF,GWRMP,5537.1777
HJH,1998_5,SF,GWRMP,5588.2336
HJH,1998_6,SF,GWRMP,5619.3644
HJH,1998_7,SF,GWRMP,5639.131
HJH,1998_8,SF,GWRMP,5584.0654
HJH,1998_9,SF,GWRMP,5600.2233
HJH,1999_5,SF,GWRMP,5580.1531
HJH,1999_6,SF,GWRMP,5875.1642
HJH,1999_7,SF,GWRMP,5583.0577
HJH,1999_8,SF,GWRMP,5706.5062
HJH,1999_9,SF,GWRMP,5549.2352
HJH,2000_5,SF,GWRMP,5586.0244
HJH,2000_6,SF,GWRMP,5619.9825
HJH,2000_7,SF,GWRMP,5554.923
HJH,2000_8,SF,GWRMP,5590.4061
HJH,2000_9,SF,GWRMP,5543.6351
HJH,2001_5,SF,GWRMP,5555.6875
HJH,2001_6,SF,GWRMP,5742.5396
HJH,2001_7,SF,GWRMP,5580.2964
HJH,2001_8,SF,GWRMP,5674.8488
HJH,2001_9,SF,GWRMP,5534.6175
HJH,2002_5,SF,GWRMP,5614.7999
HJH,2002_6,SF,GWRMP,5606.6794
HJH,2002_7,SF,GWRMP,5608.3818
